name_before,drop_reason_before,drop_reason_after
"Sandwich loaf, wholemeal",name_keyword:sandwich,
"Sandwich loaf, bran grain",name_keyword:sandwich,
"Sandwich loaf, multigrain",name_keyword:sandwich,
Sandwich loaf,name_keyword:sandwich,
"Sandwich loaf, crust less, prepacked",name_keyword:sandwich,
"Brioche sandwich bread, prepacked",name_keyword:sandwich,
Wheat swedish toast,name_keyword:toast,
"Swedish toast, with linseeds",name_keyword:toast,
"Wheat swedish toast, wholemeal",name_keyword:toast,
"Swedish toast, with fruits",name_keyword:toast,
"Thin-crust pizza shell, raw",name_keyword:pizza,
"Pizza base, raw",name_keyword:pizza,
"Pizza base, cooked",name_keyword:pizza,
Topping sauce for pizza,name_keyword:pizza,
cream sauce for pizza base,name_keyword:pizza,
Tomato sauce for pizza base,name_keyword:pizza,
