ingredient_name_normalized,suggested_food_id,suggested_canonical_name,suggested_display_name,suggested_food_group,suggested_role,source_used,source_row_reference,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,frequency_in_v1_1,rows_with_grams,total_grams_affected,proposed_action,final_action,safety,sanity_status,sanity_notes,defer_reason,review_notes,example_raw_texts,example_recipes
beef_ground_rows_only,food_beef_minced_steak_15_fat_raw,beef_minced_steak_15_fat_raw,"Beef, minced steak, 15% fat, raw","meat, egg and fish",,current_fooddb_existing,,209,20.2,0.47,14.1,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
beef_lean_ground_rows_only,food_beef_minced_steak_10_fat_raw,beef_minced_steak_10_fat_raw,"Beef, minced steak, 10% fat, raw","meat, egg and fish",,current_fooddb_existing,,171,20,0,10.1,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
cubed_beef_stew_meat,food_beef_stewing_meat_raw,beef_stewing_meat_raw,"Beef, stewing meat, raw","meat, egg and fish",,current_fooddb_existing,,164,24,0,7.5,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
garlic_cloves,food_garlic_fresh,garlic_fresh,"Garlic, fresh",miscellaneous,,current_fooddb_existing,,111,5.31,18.6,0.3,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
jasmine_rice_cooked_rows_only,food_rice_thai_cooked,rice_thai_cooked,"Rice, thaï, cooked",cereal products,,current_fooddb_existing,,143,2.92,30.5,0.7,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
kosher_salt,food_salt_white_sea_igneous_or_rock_no_enrichment,salt_white_sea_igneous_or_rock_no_enrichment,"Salt, white, sea, igneous or rock, no enrichment",miscellaneous,,current_fooddb_existing,,0,0,0,0,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
mozzarella_cheese,food_mozzarella_cheese_from_cow_s_milk,mozzarella_cheese_from_cow_s_milk,"Mozzarella cheese, from cow's milk",milk and milk products,,current_fooddb_existing,,227,16.5,0.75,17.7,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
onions,food_onion_raw,onion_raw,"Onion, raw","fruits, vegetables, legumes and nuts",,current_fooddb_existing,,35,1.1,6.25,0.62,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
pork_loin,food_pork_loin_raw,pork_loin_raw,"Pork loin, raw","meat, egg and fish",,current_fooddb_existing,,175,20.8,0.75,9.89,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
pork_shoulder,food_pork_shoulder_raw,pork_shoulder_raw,"Pork, shoulder, raw","meat, egg and fish",,current_fooddb_existing,,178,18.9,0.38,11.2,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
potatoes_clear_cooked_rows_only,food_potato_boiled_cooked_in_water,potato_boiled_cooked_in_water,"Potato, boiled/cooked in water","fruits, vegetables, legumes and nuts",,current_fooddb_existing,,80.5,1.8,16.7,0.34,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
potatoes_clear_raw_rows_only,food_potato_peeled_raw,potato_peeled_raw,"Potato, peeled, raw","fruits, vegetables, legumes and nuts",,current_fooddb_existing,,80.5,2.16,16.2,0.18,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
white_rice_cooked_rows_only,food_rice_cooked_unsalted,rice_cooked_unsalted,"Rice, cooked, unsalted",cereal products,,current_fooddb_existing,,145,2.92,31.8,0.41,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
white_rice_uncooked_rows_only,food_rice_raw,rice_raw,"Rice, raw",cereal products,,current_fooddb_existing,,352,7.04,78,0.91,,,,alias_to_existing,alias_to_existing_round3,,passed,round3_alias_to_existing; no_fooddb_row_appended,,,,
