name,canonical_name_guess,main_group,sub_group,sub_sub_group,entity_level_guess,keep_for_food_db,review_flag,drop_reason
"Soft drink, carbonated, without fruit juice, without sugar and with artificial sweetener(s)","soft drink, carbonated",beverages,non-alcoholic beverages,soft drinks,recipe_like,False,False,name_keyword:soft drink
"Still soft drink with tea extract, with sugar and artificial sweetener(s)",still soft drink with tea extract,beverages,non-alcoholic beverages,soft drinks,recipe_like,False,False,name_keyword:soft drink
"Fruit soft drink, carbonated (10-50% of fruit juice), with sugar","fruit soft drink, carbonated",beverages,non-alcoholic beverages,soft drinks,recipe_like,False,False,name_keyword:soft drink
"Fruit soft drink, still (less than 10% of fruit juice), without sugar and with artificial sweetener(s)","fruit soft drink, still",beverages,non-alcoholic beverages,soft drinks,recipe_like,False,False,name_keyword:soft drink
"Fruit soft drink, still (less than 10% of fruit juice), with sugar","fruit soft drink, still",beverages,non-alcoholic beverages,soft drinks,recipe_like,False,False,name_keyword:soft drink
"Soft drink, carbonated, without fruit juice, with sugar","soft drink, carbonated",beverages,non-alcoholic beverages,soft drinks,recipe_like,False,False,name_keyword:soft drink
"Fruit soft drink, carbonated (less than 10% of fruit juice), with sugar and artificial sweetener(s)","fruit soft drink, carbonated",beverages,non-alcoholic beverages,soft drinks,recipe_like,False,False,name_keyword:soft drink
"Fruit soft drink, carbonated (fruit juice content unknown), with sugar","fruit soft drink, carbonated",beverages,non-alcoholic beverages,soft drinks,recipe_like,False,False,name_keyword:soft drink
"Fruit soft drink, carbonated (less than 10% of fruit juice), with sugar","fruit soft drink, carbonated",beverages,non-alcoholic beverages,soft drinks,recipe_like,False,False,name_keyword:soft drink
"Fruit soft drink, carbonated (10-50% of fruit juice), without sugar and with artificial sweetener(s)","fruit soft drink, carbonated",beverages,non-alcoholic beverages,soft drinks,recipe_like,False,False,name_keyword:soft drink
