food_id,canonical_name,display_name,food_family_name,entity_level,food_group,food_subgroup,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,food_subgroup_detail,processing_state,preservation_state,fibre_g_100g,sugars_g_100g,salt_g_100g,water_g_100g,alcohol_g_100g,helper_macro_profile,helper_use_as_protein,helper_use_as_carb_side,helper_use_as_veg_side,helper_is_sweet,helper_is_salty,helper_is_drink,helper_is_vegetarian,helper_is_vegan,helper_protein_bucket,helper_carb_bucket,helper_veg_bucket,primary_source_uid,primary_source_name,primary_source_ciqual_code,primary_source_name_tags,qc_macro_complete,qc_taxonomy_complete,qc_canonicalization_status,qc_scope_status,qc_source_merge_count,qc_notes
food_abalone_or_ormer_or_sea_ear_raw,abalone_or_ormer_or_sea_ear_raw,"Abalone or ormer or sea ear, raw",Abalone or ormer or sea ear,atomic,"meat, egg and fish","seafood, raw",99.6,14.4,8.69,0.83,,raw,,0.0,0.0,0.47,74.6,0.0,protein_high;carb_moderate;fat_low,True,False,False,False,False,,,,fish_white,,,abalone-or-ormer-or-sea-ear-raw_10041,"Abalone or ormer or sea ear, raw",10041,,True,True,normalized_from_source_name,accepted_core,1,
food_alaska_pollock_smoked,alaska_pollock_smoked,"Alaska pollock, smoked",Alaska pollock,semi_atomic,"meat, egg and fish","fish, cooked",81.3,18.3,0.0,0.9,,smoked,,0.0,0.0,,,0.0,protein_high;carb_low;fat_low,True,False,False,False,False,,,,fish_white,,,alaska-pollock-smoked_26152,"Alaska pollock, smoked",26152,,True,True,normalized_from_source_name,accepted_core,1,
food_albacore_in_olive_oil_canned_drained,albacore_in_olive_oil_canned_drained,"Albacore, in olive oil, canned, drained","Albacore, in olive oil",semi_atomic,"meat, egg and fish",fish products,192.0,31.3,1.01,6.95,,,canned;drained,0.0,0.0,0.67,59.3,0.0,protein_high;carb_low;fat_moderate,True,False,False,False,False,,,,fish_white,,,albacore-in-olive-oil-canned-drained_26179,"Albacore, in olive oil, canned, drained",26179,canned,True,True,normalized_from_source_name,accepted_core,1,
food_albacore_steamed_under_pressure,albacore_steamed_under_pressure,"Albacore, steamed under pressure","Albacore, steamed under pressure",semi_atomic,"meat, egg and fish",fish products,165.0,30.0,0.0,5.06,,cooked,,0.0,,0.1,64.0,0.0,protein_high;carb_low;fat_moderate,True,False,False,False,False,,,,fish_white,,,albacore-steamed-under-pressure_26077,"Albacore, steamed under pressure",26077,,True,True,normalized_from_source_name,accepted_core,1,
food_alfalfa_seeds_raw,alfalfa_seeds_raw,"Alfalfa seeds, raw",Alfalfa seeds,atomic,"fruits, vegetables, legumes and nuts",nuts and seeds,389.4,29.7,39.3,12.6,,raw,,7.9,,,7.4,0.0,protein_high;carb_high;fat_high,True,False,True,False,False,,,,veggie,,,alfalfa-seeds-raw_15032,"Alfalfa seeds, raw",15032,,True,True,normalized_from_source_name,accepted_core,1,
food_alfalfa_seeds_sprouted_raw,alfalfa_seeds_sprouted_raw,"Alfalfa seeds, sprouted, raw","Alfalfa seeds, sprouted",atomic,"fruits, vegetables, legumes and nuts",nuts and seeds,23.1,3.28,0.91,0.7,,raw,,1.9,0.2,0.015,92.8,0.0,carb_low;fat_low,True,False,True,False,False,,,,,,,alfalfa-seeds-sprouted-raw_15029,"Alfalfa seeds, sprouted, raw",15029,,True,True,normalized_from_source_name,accepted_core,1,
food_almond_grilled_salted,almond_grilled_salted,"Almond, grilled, salted",Almond,semi_atomic,"fruits, vegetables, legumes and nuts",nuts and seeds,604.4,21.1,8.72,53.9,,grilled,,10.9,4.86,1.25,2.41,0.0,protein_high;carb_moderate;fat_high,True,False,True,False,False,,,,veggie,,,almond-grilled-salted_15042,"Almond, grilled, salted",15042,,True,True,normalized_from_source_name,accepted_core,1,
food_almond_oil,almond_oil,Almond oil,Almond oil,semi_atomic,fats and oils,vegetable oils,900.0,0.0,0.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,protein_low;carb_low;fat_high,False,False,False,False,False,,,,,,,almond-oil_17030,Almond oil,17030,,True,True,normalized_from_source_name,accepted_core,1,
food_almond_paste_or_marzipan_prepacked,almond_paste_or_marzipan_prepacked,"Almond paste or marzipan, prepacked",Almond paste or marzipan,atomic,"fruits, vegetables, legumes and nuts",nuts and seeds,432.0,5.8,70.3,13.5,,,,2.8,60.1,0.018,6.6,0.0,protein_moderate;carb_high;fat_high,True,False,True,True,False,,,,veggie,,,almond-paste-or-marzipan-prepacked_15201,"Almond paste or marzipan, prepacked",15201,prepacked,True,True,normalized_from_source_name,accepted_core,1,
food_almond_peeled_unpeeled_or_blanched,almond_peeled_unpeeled_or_blanched,"Almond, peeled, unpeeled or blanched","Almond, peeled, unpeeled or blanched",atomic,"fruits, vegetables, legumes and nuts",nuts and seeds,593.1,21.4,8.76,52.5,,,,9.9,4.63,0.048,4.51,0.0,protein_high;carb_moderate;fat_high,True,False,True,False,False,,,,veggie,,,almond-peeled-unpeeled-or-blanched_15041,"Almond, peeled, unpeeled or blanched",15041,,True,True,normalized_from_source_name,accepted_core,1,
food_almond_with_peel,almond_with_peel,"Almond, with peel",Almond,atomic,"fruits, vegetables, legumes and nuts",nuts and seeds,574.9,18.8,9.51,51.3,,,,12.5,4.2,0.0,4.8,0.0,protein_high;carb_moderate;fat_high,True,False,True,False,False,,,,veggie,,,almond-with-peel_15000,"Almond, (with peel)",15000,with_peel,True,True,normalized_from_source_name,accepted_core,1,
food_amaranth_raw,amaranth_raw,"Amaranth, raw",Amaranth,atomic,cereal products,"pasta, rice and grains",369.0,13.5,58.6,7.02,"pasta, rice and grains, raw",raw,,6.7,1.68,0.01,11.3,0.0,protein_high;carb_high;fat_moderate,False,True,False,False,False,,,,,,,amaranth-raw_9345,"Amaranth, raw",9345,,True,True,normalized_from_source_name,accepted_core,1,
food_american_or_canadian_sea_scallop_without_coral_raw,american_or_canadian_sea_scallop_without_coral_raw,"American or Canadian sea scallop, without coral, raw",American or canadian sea scallop,atomic,"meat, egg and fish","seafood, raw",81.3,17.3,1.78,0.54,,raw,,0.0,,,78.7,0.0,protein_high;carb_low;fat_low,True,False,False,False,False,,,,fish_white,,,american-or-canadian-sea-scallop-without-coral-raw_10048,"American or Canadian sea scallop, without coral, raw",10048,without_coral,True,True,normalized_from_source_name,accepted_core,1,
food_anchovy_fillets_in_oil_semi_preserved_drained,anchovy_fillets_in_oil_semi_preserved_drained,"Anchovy, fillets, in oil, semi-preserved, drained","Anchovy, fillets, in oil, semi-preserved",semi_atomic,"meat, egg and fish",fish products,182.0,26.4,0.0,8.45,,,drained,0.05,0.0,11.3,55.1,0.0,protein_high;carb_low;fat_moderate,True,False,False,False,True,,,,fish_white,,,anchovy-fillets-in-oil-semi-preserved-drained_26000,"Anchovy, fillets, in oil, semi-preserved, drained",26000,,True,True,normalized_from_source_name,accepted_core,1,
food_anchovy_fillets_rolled_with_capers_semi_preserved_drained,anchovy_fillets_rolled_with_capers_semi_preserved_drained,"Anchovy, fillets, rolled with capers, semi-preserved, drained","Anchovy, fillets, rolled with capers, semi-preserved",semi_atomic,"meat, egg and fish",fish products,198.0,24.8,1.48,10.3,,,drained,0.8,,,,0.0,protein_high;carb_low;fat_high,True,False,False,False,False,,,,fish_white,,,anchovy-fillets-rolled-with-capers-semi-preserved-drained_25999,"Anchovy, fillets, rolled with capers, semi-preserved, drained",25999,with_capers,True,True,normalized_from_source_name,accepted_core,1,
food_anchovy_in_salt_semi_preserved,anchovy_in_salt_semi_preserved,"Anchovy, in salt, semi-preserved","Anchovy, in salt",semi_atomic,"meat, egg and fish",fish products,128.0,25.0,0.0,3.1,,,,0.0,0.0,9.01,,0.0,protein_high;carb_low,True,False,False,False,True,,,,fish_white,,,anchovy-in-salt-semi-preserved_26177,"Anchovy, in salt (semi-preserved)",26177,semi_preserved,True,True,normalized_from_source_name,accepted_core,1,
food_apple_canada_pulp_raw,apple_canada_pulp_raw,"Apple, Canada, pulp, raw","Apple, canada, pulp",atomic,"fruits, vegetables, legumes and nuts",fruits,48.9,0.4,11.6,0.1,fresh fruits,raw,,1.6,11.0,0.009,84.4,0.0,protein_low;carb_moderate;fat_low,True,False,True,False,False,,,,veggie,,,apple-canada-pulp-raw_13085,"Apple, Canada, pulp, raw",13085,,True,True,normalized_from_source_name,accepted_core,1,
food_apple_compote,apple_compote,Apple compote,Apple compote,atomic,"fruits, vegetables, legumes and nuts",fruits,102.0,0.23,24.4,0.21,puréed fruits,,,1.53,20.7,,72.9,0.0,protein_low;carb_high;fat_low,True,False,True,True,False,,,,veggie,,,apple-compote_13038,Apple compote,13038,,True,True,normalized_from_source_name,accepted_core,1,
food_apple_compote_reduced_sugar,apple_compote_reduced_sugar,"Apple compote, reduced sugar",Apple compote,semi_atomic,"fruits, vegetables, legumes and nuts",fruits,65.1,0.3,15.1,0.08,puréed fruits,,,1.3,14.3,0.0,82.9,0.0,protein_low;carb_high;fat_low,True,False,True,True,False,,,,veggie,,,apple-compote-reduced-sugar_13151,"Apple compote, reduced sugar",13151,,True,True,normalized_from_source_name,accepted_core,1,
food_apple_dried,apple_dried,"Apple, dried",Apple,semi_atomic,"fruits, vegetables, legumes and nuts",fruits,234.7,0.78,57.2,0.31,dried fruits,,dried,8.7,54.6,0.22,31.8,0.0,protein_low;carb_high;fat_low,True,False,True,True,False,,,,veggie,,,apple-dried_13111,"Apple, dried",13111,,True,True,normalized_from_source_name,accepted_core,1,
food_apple_pulp_and_peel_raw,apple_pulp_and_peel_raw,"Apple, pulp and peel, raw","Apple, pulp and peel",atomic,"fruits, vegetables, legumes and nuts",fruits,49.6,0.25,11.6,0.25,fresh fruits,raw,,1.4,9.35,0.004,85.4,0.0,protein_low;carb_moderate;fat_low,True,False,True,False,False,,,,veggie,,,apple-pulp-and-peel-raw_13039,"Apple, pulp and peel, raw",13039,,True,True,normalized_from_source_name,accepted_core,1,
food_apple_pulp_raw,apple_pulp_raw,"Apple, pulp, raw","Apple, pulp",atomic,"fruits, vegetables, legumes and nuts",fruits,45.0,0.27,10.7,0.13,fresh fruits,raw,,1.3,10.1,0.0,86.7,0.0,protein_low;carb_moderate;fat_low,True,False,True,False,False,,,,veggie,,,apple-pulp-raw_13050,"Apple, pulp, raw",13050,,True,True,normalized_from_source_name,accepted_core,1,
food_apple_pulp_roasted_baked,apple_pulp_roasted_baked,"Apple, pulp, roasted/baked","Apple, pulp",semi_atomic,"fruits, vegetables, legumes and nuts",fruits,87.9,0.3,21.0,0.3,puréed fruits,baked;roasted,,3.0,17.5,0.0,75.6,0.0,protein_low;carb_high;fat_low,True,False,True,True,False,,,,veggie,,,apple-pulp-roasted-baked_13175,"Apple, pulp, roasted/baked",13175,,True,True,normalized_from_source_name,accepted_core,1,
