uid,ciqual_code,name,name_core,name_tags,main_group,sub_group,sub_sub_group,kcal_sanitized,kcal_calc_ml,energy_flag_ml,protein_g_100g_ml,carbohydrate_g_100g_ml,fat_g_100g_ml,sugars_g_100g_ml,fibres_g_100g_ml,salt_g_100g_ml,alcohol_g_100g_ml,water_g_100g_ml,macro_tags
desert-average_24999,24999,Desert (average),Desert,note:average,,,,281.6,281.6,0,4.63,36.6,12.9,23.7,1.54,0.38,0.081,45.4,carb_high;fat_high
prepared-mixed-tuna-and-vegetable-salad-canned_25601,25601,"Prepared mixed tuna and vegetable salad, canned",Prepared mixed tuna and vegetable salad,canned;prepared,starters and dishes,mixed salads,,109.9,109.9,0,9.15,7.74,4.7,3.08,2.7,1.11,0,76.5,protein_moderate;carb_moderate
prepared-mixed-meat-fish-canned-salad_25602,25602,"Prepared mixed meat/fish canned, salad","Prepared mixed meat/fish canned, salad",canned;prepared,starters and dishes,mixed salads,,105.5,105.5,0,8.06,6.4,5.3,1.9,2,0.95,0,76.7,protein_moderate;carb_moderate;fat_moderate
greek-style-marinated-mushrooms-prepacked_25605,25605,"Greek-style marinated mushrooms, prepacked",Greek-style marinated mushrooms,style:greek;prepacked,starters and dishes,mixed salads,,56.1,56.1,0,2.08,3.95,3.55,2.38,2.35,1.26,0,85.2,protein_low;carb_low
prepared-potatoes-salad-home-made_25606,25606,"Prepared potatoes salad, home-made","Prepared potatoes salad, home-made",prepared,starters and dishes,mixed salads,,124.1,124.1,0,2.68,9.9,8.2,,1.3,1.32,0,76,protein_low;carb_moderate;fat_moderate
tabbouleh-prepacked_25608,25608,"Tabbouleh, prepacked",Tabbouleh,prepacked,starters and dishes,mixed salads,,179,174.6,0,4.88,23.7,6.7,4.9,2.5,1,0,60.3,carb_high;fat_moderate
potato-salad-piemontaise-style-prepacked_25609,25609,"Potato salad, piémontaise-style, prepacked","Potato salad, piémontaise-style",style:piemontaise;prepacked,starters and dishes,mixed salads,,130,128.2,0,4.5,8.87,8.3,1.2,0.3,1.08,0,75.8,carb_moderate;fat_moderate
prepared-rice-salad-canned_25614,25614,"Prepared rice salad, canned",Prepared rice salad,canned;prepared,starters and dishes,mixed salads,,124.1,124.1,0,5.13,16.1,4.35,1,1.7,1.1,0,72.5,protein_moderate;carb_high
prepared-pasta-salad-vegetarian_25615,25615,"Prepared pasta salad, vegetarian","Prepared pasta salad, vegetarian",vegetarian;prepared,starters and dishes,mixed salads,,150.5,150.5,0,5.7,13.7,8.1,2.3,1.7,1.04,0,72.6,protein_moderate;carb_moderate;fat_moderate
salad-vegetable-without-dressing-average_25616,25616,"Salad, vegetable, without dressing (average)","Salad, vegetable",without_dressing;note:average,starters and dishes,mixed salads,,29.9,22.3,0,0.94,3.07,0.7,2.27,1.51,0.031,0,93.2,protein_low;carb_low;fat_low
