recipe_signature,group_size,kept_source_row_number,kept_recipe_title,kept_category,kept_subcategory,all_source_rows,category_pairs
9684722da0116ee8d9a04de65fec88b083afc903,26,26136,Blackened Chicken,Dinner,Cooking For Two,22718|22862|23086|26136|26842|31489|31603|34503|35228|35658|35742|35784|36049|36231|36312|39170|40330|40358|42957|43053|43128|43185|47654|54129|54241|60860,"Cooking For One -> Cook Once, Eat Twice | Cooking For Two -> Cooking Chicken For Two | Cooking For Two -> Cooking For Two | Dinner -> Baked And Roasted Chicken | Dinner -> Cooking For Two | Gluten-Free -> Gluten-Free | Gluten-Free -> Gluten-Free Main Dishes | Healthy Recipes -> Dairy-Free Recipes | Healthy Recipes -> Gluten-Free Recipes | Healthy Recipes -> Heart-Healthy Recipes | Healthy Recipes -> Low-Calorie Recipes | Healthy Recipes -> Low-Carb Recipes | Healthy Recipes -> Paleo Diet | Healthy Recipes -> Weight-Loss Recipes | Healthy Recipes -> Whole30 Recipes | Jewish -> Kosher Recipes | Kosher -> Kosher | Kosher -> Kosher Main Dishes | Low Calorie -> 200 Calorie Main Dishes | Low Calorie -> 300 Calorie Main Dishes | Low Calorie -> Low Calorie | Low Calorie -> Low-Calorie Main Dishes | Main Dishes -> Summer Main Dishes | Paleo -> Paleo | Paleo -> Paleo Main Dishes | Whole30 -> Whole30"
ce9076a3dc69792d76650de1e05b66f1d1086454,25,60141,Baked Sweet Potatoes,Vegetarian,Vegetarian Side Dishes,13230|34352|34677|34864|35243|35342|35602|35664|35765|35977|36061|36363|36551|36664|40673|43579|43766|44343|44416|44599|54144|54304|60141|60437|60883,Casseroles -> Side Dish Casseroles | Healthy Recipes -> Clean Eating | Healthy Recipes -> Dairy-Free Recipes | Healthy Recipes -> Healthy Recipes | Healthy Recipes -> Healthy Side Dishes | Healthy Recipes -> Heart-Healthy Recipes | Healthy Recipes -> High-Fiber Recipes | Healthy Recipes -> Low Glycemic Impact Recipes | Healthy Recipes -> Low-Cholesterol Recipes | Healthy Recipes -> Low-Sodium Recipes | Healthy Recipes -> Paleo Diet | Healthy Recipes -> Whole30 Recipes | High Fiber -> High Fiber | High Fiber -> High-Fiber Side Dishes | Kosher -> Kosher Side Dishes | Low Cholesterol -> Low Cholesterol | Low Cholesterol -> Low-Cholesterol Side Dishes | Low Glycemic Impact -> Low Glycemic Impact | Low Sodium -> Low Sodium | Low Sodium -> Low-Sodium Side Dishes | Paleo -> Paleo | Paleo -> Paleo Side Dishes | Vegetarian -> Vegetarian Side Dishes | Vegetarian -> Vegetarian Thanksgiving | Whole30 -> Whole30
6a67c639345827e81d778f3f86dd29d870534bd8,24,26373,Lemon-Orange Orange Roughy,Dinner,Healthy Main Dishes,25686|26373|34545|34624|34886|35360|35642|35687|35797|36097|39272|40384|40862|42999|43072|43204|44365|44456|44477|47972|54270|54890|54944|54995,Diabetic -> Diabetic | Dinner -> Healthy Main Dishes | Healthy Recipes -> Clean Eating | Healthy Recipes -> Diabetic Recipes | Healthy Recipes -> Healthy Main Dishes | Healthy Recipes -> Heart-Healthy Recipes | Healthy Recipes -> Low Glycemic Impact Recipes | Healthy Recipes -> Low-Calorie Recipes | Healthy Recipes -> Low-Sodium Recipes | Healthy Recipes -> Weight-Loss Recipes | Jewish -> Passover Recipes | Kosher -> Kosher Main Dishes | Kosher -> Passover Recipes | Low Calorie -> 200 Calorie Main Dishes | Low Calorie -> Low Calorie | Low Calorie -> Low-Calorie Main Dishes | Low Glycemic Impact -> Low Glycemic Impact | Low Sodium -> Low Sodium | Low Sodium -> Low-Sodium Main Dishes | Main Dishes -> Healthy Main Dishes | Paleo -> Paleo Main Dishes | Passover -> Everyday Passover Meals | Passover -> Passover | Passover -> Seder Recipes
50ac4f1f64dd010f225ce62e9503b681622b325e,22,26324,Black Beans and Rice,Dinner,Vegetarian Main Dishes,26324|26361|34335|34424|34497|34612|35653|35780|35902|35966|36044|36350|36538|42951|43117|43568|43893|46294|46448|47923|47960|60208,Dinner -> Healthy Main Dishes | Dinner -> Vegetarian Main Dishes | Healthy Recipes -> Dairy-Free Recipes | Healthy Recipes -> Healthy Main Dishes | Healthy Recipes -> Healthy Recipes | Healthy Recipes -> Heart-Healthy Recipes | Healthy Recipes -> High-Fiber Recipes | Healthy Recipes -> Low-Calorie Recipes | Healthy Recipes -> Low-Cholesterol Recipes | Healthy Recipes -> Low-Fat Recipes | Healthy Recipes -> Superfoods | Healthy Recipes -> Weight-Loss Recipes | High Fiber -> High Fiber | Low Calorie -> 300 Calorie Main Dishes | Low Calorie -> Low Calorie | Low Cholesterol -> Low Cholesterol | Low Fat -> Low Fat | Main Dishes -> Healthy Main Dishes | Main Dishes -> Rice Main Dishes | Main Dishes -> Vegetable Main Dishes | Main Dishes -> Vegetarian Main Dishes | Vegetarian -> Vegetarian Main Dishes
a682a61cc52bff60295f3335b0746527921ecaed,22,26371,Muesli,Dinner,Healthy Main Dishes,7351|8208|26371|34538|34622|34800|35633|36392|36580|36603|36983|42992|43199|43504|44447|44474|44722|47835|47970|59874|59987|60427,Breakfast And Brunch -> Breakfast Cereals | Breakfast And Brunch -> Healthy Breakfast And Brunch | Dinner -> Healthy Main Dishes | Healthy Recipes -> Healthy Breakfast And Brunch | Healthy Recipes -> Healthy Main Dishes | Healthy Recipes -> High-Fiber Recipes | Healthy Recipes -> Low-Calorie Recipes | Healthy Recipes -> Low-Sodium Recipes | High Fiber -> High Fiber | High Fiber -> High-Fiber Breakfast And Brunch | High Fiber -> High-Fiber Main Dishes | Low Calorie -> Low Calorie | Low Calorie -> Low-Calorie Breakfast And Brunch | Low Calorie -> Low-Calorie Main Dishes | Low Sodium -> Low Sodium | Low Sodium -> Low-Sodium Breakfast And Brunch | Low Sodium -> Low-Sodium Main Dishes | Main Dishes -> Healthy Main Dishes | Main Dishes -> Vegan Main Dishes | Vegetarian -> Vegan Recipes | Vegetarian -> Vegetarian Breakfast And Brunch | Vegetarian -> Vegetarian Whole Grain
8441b7bc7d2996e4837ab737f81b937021fc8149,22,34443,Smoked Fish Dip,Healthy Recipes,Low-Fat Recipes,1313|31509|31664|34063|34443|34523|34871|35995|36251|39205|39266|40422|40795|40856|42977|43597|43631|43912|44144|44350|54884|54939,Appetizers And Snacks -> Seafood Appetizers | Gluten-Free -> Gluten-Free | Gluten-Free -> Gluten-Free Appetizers | Hanukkah -> Hanukkah | Healthy Recipes -> Gluten-Free Recipes | Healthy Recipes -> Low Glycemic Impact Recipes | Healthy Recipes -> Low-Calorie Recipes | Healthy Recipes -> Low-Cholesterol Recipes | Healthy Recipes -> Low-Fat Recipes | Jewish -> Hanukkah Recipes | Jewish -> Passover Recipes | Kosher -> Hanukkah Recipes | Kosher -> Kosher Appetizers | Kosher -> Passover Recipes | Low Calorie -> Low Calorie | Low Cholesterol -> Low Cholesterol | Low Cholesterol -> Low-Cholesterol Appetizers | Low Fat -> Low Fat | Low Fat -> Low-Fat Appetizers | Low Glycemic Impact -> Low Glycemic Impact | Passover -> Passover | Passover -> Seder Recipes
e9d62c45dff1910e856e7fcd9ea8a105a90dc9a3,22,59789,Gnocchi,Vegetarian,Vegetarian,26321|26359|27204|27341|29773|31930|34330|34421|34610|35588|36035|37051|39138|40298|43890|44402|47248|47443|47920|47958|59789|60205,Dinner -> Healthy Main Dishes | Dinner -> Vegetarian Main Dishes | Dumplings -> Dumplings | Dumplings -> Gnocchi | Food Gifts -> Diy Recipes | Gnocchi -> Gnocchi | Healthy Recipes -> Dairy-Free Recipes | Healthy Recipes -> Healthy Main Dishes | Healthy Recipes -> Healthy Recipes | Healthy Recipes -> Low-Fat Recipes | Healthy Recipes -> Low-Sodium Recipes | Homemade Pasta -> Homemade Pasta | Jewish -> Kosher Recipes | Kosher -> Kosher | Low Fat -> Low Fat | Low Sodium -> Low Sodium | Main Dishes -> Dumplings | Main Dishes -> Gourmet Main Dishes | Main Dishes -> Healthy Main Dishes | Main Dishes -> Vegetarian Main Dishes | Vegetarian -> Vegetarian | Vegetarian -> Vegetarian Main Dishes
c5d162c25439ab5dbaea4a6d328c72c1903667b3,22,60074,Mango Salsa,Vegetarian,Vegetarian Appetizers,1155|1757|2182|34457|34540|34546|34883|35927|36009|39885|40424|41103|41430|42994|43249|43611|43634|43926|44147|44362|56479|60074,Appetizers And Snacks -> Fruit Appetizers | Appetizers And Snacks -> Salsa | Appetizers And Snacks -> Spicy Appetizers | Healthy Recipes -> Healthy Appetizers | Healthy Recipes -> Low Glycemic Impact Recipes | Healthy Recipes -> Low-Calorie Recipes | Healthy Recipes -> Low-Cholesterol Recipes | Healthy Recipes -> Low-Fat Recipes | Healthy Recipes -> Superfoods | July 4Th -> 4Th Of July Appetizers | Kosher -> Kosher Appetizers | Labor Day -> Labor Day | Labor Day -> Labor Day Appetizers | Low Calorie -> Low Calorie | Low Calorie -> Low-Calorie Appetizers | Low Cholesterol -> Low Cholesterol | Low Cholesterol -> Low-Cholesterol Appetizers | Low Fat -> Low Fat | Low Fat -> Low-Fat Appetizers | Low Glycemic Impact -> Low Glycemic Impact | Picnic Recipes -> Labor Day Recipes | Vegetarian -> Vegetarian Appetizers
918504faf42d478b87ecb199ec5819e59cf8f406,21,26160,Parchment Baked Salmon,Dinner,Cooking For Two,22671|22742|22886|23035|26160|26370|34535|34621|35355|35631|35682|35794|35925|42989|43065|43173|43198|44445|44473|47969|54262,"Cooking For One -> Cook Once, Eat Twice | Cooking For One -> Cooking For One | Cooking For Two -> Cooking For Two | Cooking For Two -> Cooking Seafood For Two | Dinner -> Cooking For Two | Dinner -> Healthy Main Dishes | Healthy Recipes -> Clean Eating | Healthy Recipes -> Healthy Main Dishes | Healthy Recipes -> Heart-Healthy Recipes | Healthy Recipes -> Low-Calorie Recipes | Healthy Recipes -> Low-Sodium Recipes | Healthy Recipes -> Superfoods | Healthy Recipes -> Weight-Loss Recipes | Low Calorie -> 200 Calorie Main Dishes | Low Calorie -> 300 Calorie Main Dishes | Low Calorie -> Low Calorie | Low Calorie -> Low-Calorie Main Dishes | Low Sodium -> Low Sodium | Low Sodium -> Low-Sodium Main Dishes | Main Dishes -> Healthy Main Dishes | Paleo -> Paleo Main Dishes"
fddc1fce36185ef705a0c84e21cdd74d1c4de26a,21,26344,Homemade Black Bean Veggie Burgers,Dinner,Vegetarian Main Dishes,9302|26344|26365|29029|34515|34616|34869|35398|35913|36370|36558|36597|42969|43188|44348|46470|46526|47943|47964|59800|60228,Burgers -> Burgers | Dinner -> Healthy Main Dishes | Dinner -> Vegetarian Main Dishes | Father'S Day -> Burgers | Healthy Recipes -> Healthy Main Dishes | Healthy Recipes -> High-Fiber Recipes | Healthy Recipes -> Low Glycemic Impact Recipes | Healthy Recipes -> Low-Calorie Recipes | Healthy Recipes -> Prebiotic And Probiotic Recipes | Healthy Recipes -> Superfoods | High Fiber -> High Fiber | High Fiber -> High-Fiber Main Dishes | Low Calorie -> Low Calorie | Low Calorie -> Low-Calorie Main Dishes | Low Glycemic Impact -> Low Glycemic Impact | Main Dishes -> Burgers | Main Dishes -> Healthy Main Dishes | Main Dishes -> Vegetable Main Dishes | Main Dishes -> Vegetarian Main Dishes | Vegetarian -> Vegetarian Bbq & Grilling | Vegetarian -> Vegetarian Main Dishes
