recipe_ingredient_id,recipe_id,ingredient_position,ingredient_raw_text,ingredient_name_parsed,ingredient_name_normalized,quantity_value,quantity_unit,quantity_text,quantity_grams_estimated,ingredient_role,ingredient_slot_key,is_optional,is_substitutable,substitution_group_id,mapped_food_id,mapped_food_canonical_name,mapping_status,mapping_confidence,mapping_method,mapping_notes,qc_ingredient_status,qc_notes
recipes_v1_1_candidate_002_ingredient_001,recipes_v1_1_candidate_002,1,1 tablespoon olive oil,olive oil,olive oil,1.0,tablespoon,1,13.5,fat_source,olive_oil,0,1,,food_olive_oil_extra_virgin,olive_oil_extra_virgin,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:olive oil->food_olive_oil_extra_virgin,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_002,recipes_v1_1_candidate_002,2,"1 small onion, diced",onion,onion,1.0,count,1,70.0,veg,onion,0,1,,food_onion_raw,onion_raw,accepted_auto,medium,review_promotion_v1_1,review_promotion_v1_1:onion_family_exact:onion,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_003,recipes_v1_1_candidate_002,3,"4 cloves garlic, minced",garlic,garlic,4.0,clove,4,12.0,veg,garlic,0,1,,food_garlic_fresh,garlic_fresh,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:garlic->food_garlic_fresh,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_004,recipes_v1_1_candidate_002,4,1 ½ pounds ground beef,ground beef,beef,1.5,pound,1 1/2,680.39,protein,beef,0,1,,food_beef_minced_steak_15_fat_raw,beef_minced_steak_15_fat_raw,accepted_auto,medium,round3_targeted_blocker,round3_targeted_blocker:beef_row_level:ground_beef; parsed_name=ground beef,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_005,recipes_v1_1_candidate_002,5,1 teaspoon garlic powder,garlic powder,garlic powder,1.0,teaspoon,1,,veg,garlic_powder,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_006,recipes_v1_1_candidate_002,6,1 (28 ounce) jar sausage flavored spaghetti sauce,sausage flavored spaghetti sauce,sausage flavored spaghetti sauce,1.0,jar,1 (28 ounce),,carb,sausage_flavored_spaghetti_sauce,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_007,recipes_v1_1_candidate_002,7,1 (8 ounce) can tomato sauce,tomato sauce,tomato sauce,1.0,can,1 (8 ounce),,veg,tomato_sauce,0,1,,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_tomato_sauce_with_meat_or_bolognese_sauce_prepacked,food_tomato_sauce_with_onions_prepacked",review_needed_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_002_ingredient_008,recipes_v1_1_candidate_002,8,1 teaspoon dried oregano,dried oregano,oregano,1.0,teaspoon,1,1,seasoning,oregano,0,0,,food_oregano_dried,oregano_dried,accepted_auto,medium,round2_promotion_v1_1,round2_promotion_v1_1:dried_herb_exact:oregano; parsed_name=dried oregano,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_001,recipes_v1_1_candidate_004,1,1 (16 ounce) package lasagna noodles,lasagna noodles,lasagna noodles,1.0,package,1 (16 ounce),,carb,lasagna_noodles,0,1,,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match,unmapped_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
recipes_v1_1_candidate_004_ingredient_002,recipes_v1_1_candidate_004,2,2 tablespoons olive oil,olive oil,olive oil,2.0,tablespoon,2,27.0,fat_source,olive_oil,0,1,,food_olive_oil_extra_virgin,olive_oil_extra_virgin,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:olive oil->food_olive_oil_extra_virgin,accepted_auto_round9,recipes_v1_1_round9_final_mapping_used_for_generator_ready_subset
