recipe_id,nutrition_basis,servings_basis,total_weight_grams_estimated,energy_kcal_total,protein_g_total,carbs_g_total,fat_g_total,fibre_g_total,sugars_g_total,salt_g_total,water_g_total,energy_kcal_per_serving,protein_g_per_serving,carbs_g_per_serving,fat_g_per_serving,fibre_g_per_serving,sugars_g_per_serving,salt_g_per_serving,water_g_per_serving,mapped_ingredient_count,unmapped_ingredient_count,mapped_weight_ratio,cache_status,cache_version,qc_notes,macro_relevant_mapped_weight_ratio,uses_pilot_servings_fallback,servings_estimation_method,servings_adjustment_applied,original_servings_basis,adjusted_servings_basis,quality_flags
recipes_v1_1_candidate_002,recipes_v1_1_generator_ready_slot_checked_round10_draft,4,776.89,1583.1361,138.9765,10.0688,109.9343,,,,,395.784,34.7441,2.5172,27.4836,,,,,5,3,1.0,usable_from_mapped_ingredients,recipes_v1_1_generator_ready_slot_checked_round10,round10_cache_values; v1_1_generator_ready_slot_checked_draft_only,0.9987,True,pilot_fallback_recipe_kind_weight,False,4,4,
recipes_v1_1_candidate_004,recipes_v1_1_generator_ready_slot_checked_round10_draft,8,2461.35,2042.1305,226.9786,43.1491,106.9891,,,,,255.2663,28.3723,5.3936,13.3736,,,,,7,5,0.6314,usable_from_mapped_ingredients,recipes_v1_1_generator_ready_slot_checked_round10,round10_cache_values; v1_1_generator_ready_slot_checked_draft_only,0.6314,True,pilot_fallback_recipe_kind_weight,False,8,8,
recipes_v1_1_candidate_005,recipes_v1_1_generator_ready_slot_checked_round10_draft,4,1525.18,4252.982,575.4636,29.241,186.1462,,,,,1063.2455,143.8659,7.3102,46.5365,,,,,6,3,1.0,usable_from_mapped_ingredients,recipes_v1_1_generator_ready_slot_checked_round10,round10_cache_values; v1_1_generator_ready_slot_checked_draft_only,1.0,True,pilot_fallback_recipe_kind_weight,False,4,4,
recipes_v1_1_candidate_007,recipes_v1_1_generator_ready_slot_checked_round10_draft,4,1236.09,2849.0468,137.5875,189.6125,170.6705,,,,,712.2617,34.3969,47.4031,42.6676,,,,,8,3,1.0,usable_from_mapped_ingredients,recipes_v1_1_generator_ready_slot_checked_round10,round10_cache_values; v1_1_generator_ready_slot_checked_draft_only,0.7991,True,pilot_fallback_recipe_kind_weight,False,4,4,
recipes_v1_1_candidate_009,recipes_v1_1_generator_ready_slot_checked_round10_draft,4,716.09,1339.5431,103.3832,73.6649,69.6447,,,,,334.8858,25.8458,18.4162,17.4112,,,,,5,5,1.0,usable_from_mapped_ingredients,recipes_v1_1_generator_ready_slot_checked_round10,round10_cache_values; v1_1_generator_ready_slot_checked_draft_only,1.0,True,pilot_fallback_recipe_kind_weight,False,4,4,
recipes_v1_1_candidate_013,recipes_v1_1_generator_ready_slot_checked_round10_draft,4,828.09,1318.2309,101.9217,118.5155,47.4093,,,,,329.5577,25.4804,29.6289,11.8523,,,,,6,6,1.0,usable_from_mapped_ingredients,recipes_v1_1_generator_ready_slot_checked_round10,round10_cache_values; v1_1_generator_ready_slot_checked_draft_only,0.9979,True,pilot_fallback_recipe_kind_weight,False,4,4,
recipes_v1_1_candidate_014,recipes_v1_1_generator_ready_slot_checked_round10_draft,4,785.09,1119.5325,105.0098,36.9755,59.5951,,,,,279.8831,26.2525,9.2439,14.8988,,,,,7,5,1.0,usable_from_mapped_ingredients,recipes_v1_1_generator_ready_slot_checked_round10,round10_cache_values; v1_1_generator_ready_slot_checked_draft_only,1.0,True,pilot_fallback_recipe_kind_weight,False,4,4,
recipes_v1_1_candidate_015,recipes_v1_1_generator_ready_slot_checked_round10_draft,4,1381.42,1662.4603,118.8868,108.2189,83.2328,,,,,415.6151,29.7217,27.0547,20.8082,,,,,9,2,1.0,usable_from_mapped_ingredients,recipes_v1_1_generator_ready_slot_checked_round10,round10_cache_values; v1_1_generator_ready_slot_checked_draft_only,0.9959,True,pilot_fallback_recipe_kind_weight,False,4,4,
recipes_v1_1_candidate_020,recipes_v1_1_generator_ready_slot_checked_round10_draft,4,1235.5,1627.81,47.5886,302.996,21.92,,,,,406.9525,11.8971,75.749,5.48,,,,,5,6,0.9741,usable_from_mapped_ingredients,recipes_v1_1_generator_ready_slot_checked_round10,round10_cache_values; v1_1_generator_ready_slot_checked_draft_only,0.9741,True,pilot_fallback_recipe_kind_weight,False,4,4,
recipes_v1_1_candidate_021,recipes_v1_1_generator_ready_slot_checked_round10_draft,4,1455.39,1853.1669,150.312,151.175,71.0849,,,,,463.2917,37.578,37.7938,17.7712,,,,,4,6,1.0,usable_from_mapped_ingredients,recipes_v1_1_generator_ready_slot_checked_round10,round10_cache_values; v1_1_generator_ready_slot_checked_draft_only,0.6702,True,pilot_fallback_recipe_kind_weight,False,4,4,
