recipe_source_id,recipe_title_raw,category_raw,subcategory_raw,ingredient_index,ingredient_raw,section_name_raw,is_section_header
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,1,1 pound ground Italian sausage,,0
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,2,1 ½ teaspoons red pepper flakes,,0
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,3,"1 large white onion, diced",,0
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,4,"4 strips bacon, diced",,0
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,5,2 teaspoons garlic puree,,0
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,6,10 cups water,,0
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,7,5 cubes chicken bouillon,,0
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,8,"1 pound russet potatoes, diced",,0
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,9,1 cup heavy whipping cream,,0
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,10,"¼ bunch kale, chopped",,0
pilot_recipe_final_002,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,1,2 tablespoons ground black pepper,,0
pilot_recipe_final_002,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,2,2 teaspoons salt,,0
pilot_recipe_final_002,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,3,2 teaspoons ground cumin,,0
pilot_recipe_final_002,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,4,2 teaspoons garlic powder,,0
pilot_recipe_final_002,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,5,2 teaspoons ground cinnamon,,0
pilot_recipe_final_002,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,6,1 pound ahi tuna steaks,,0
pilot_recipe_final_002,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,7,2 tablespoons olive oil,,0
pilot_recipe_final_002,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,8,4 tablespoons fat-free sour cream,,0
pilot_recipe_final_002,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,9,"4 (10 inch) flour tortillas, warmed",,0
pilot_recipe_final_003,Air Fryer Blackened Chicken Breasts,Healthy Recipes,Keto Diet,1,2 teaspoons paprika,,0
pilot_recipe_final_003,Air Fryer Blackened Chicken Breasts,Healthy Recipes,Keto Diet,2,1 teaspoon ground thyme,,0
pilot_recipe_final_003,Air Fryer Blackened Chicken Breasts,Healthy Recipes,Keto Diet,3,1 teaspoon cumin,,0
