food_id,canonical_name,display_name,food_family_name,entity_level,food_group,food_subgroup,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,food_subgroup_detail,processing_state,preservation_state,fibre_g_100g,sugars_g_100g,salt_g_100g,water_g_100g,alcohol_g_100g,helper_macro_profile,helper_use_as_protein,helper_use_as_carb_side,helper_use_as_veg_side,helper_is_sweet,helper_is_salty,helper_is_drink,helper_is_vegetarian,helper_is_vegan,helper_protein_bucket,helper_carb_bucket,helper_veg_bucket,primary_source_uid,primary_source_name,primary_source_ciqual_code,primary_source_name_tags,qc_macro_complete,qc_taxonomy_complete,qc_canonicalization_status,qc_scope_status,qc_source_merge_count,qc_notes
food_black_truffle_raw,black_truffle_raw,"Black truffle, raw",Black truffle,atomic,"fruits, vegetables, legumes and nuts",vegetables,27.7,5.77,,0.51,"vegetables, raw",raw,,8.5,0.7,0.17,75.9,0.0,protein_moderate;fat_low,True,False,True,False,False,,,,veggie,,,black-truffle-raw_20106,"Black truffle, raw",20106,,False,True,normalized_from_source_name,excluded_missing_min_macros,1,missing minimum macro set | missing: carbs_g_100g
food_squash_butternut_peeled_cooked,squash_butternut_peeled_cooked,"Squash, butternut, peeled, cooked","Squash, butternut, peeled",semi_atomic,"fruits, vegetables, legumes and nuts",vegetables,5.6,1.23,,0.07,"vegetables, cooked",cooked,,,,0.005,87.8,0.0,protein_low;fat_low,True,False,True,False,False,,,,veggie,,,squash-butternut-peeled-cooked_20141,"Squash, butternut, peeled, cooked",20141,,False,True,normalized_from_source_name,excluded_missing_min_macros,1,missing minimum macro set | missing: carbs_g_100g
food_chinese_black_mushroom_dried,chinese_black_mushroom_dried,"Chinese black mushroom, dried",Chinese black mushroom,semi_atomic,"fruits, vegetables, legumes and nuts",vegetables,29.8,7.27,,0.075,"vegetables, dried or dehydrated",,dried,,0.0,0.094,,0.0,protein_moderate;fat_low,True,False,True,False,False,,,,veggie,,cooked_veg,chinese-black-mushroom-dried_20202,"Chinese black mushroom, dried",20202,,False,True,normalized_from_source_name,excluded_missing_min_macros,1,missing minimum macro set | missing: carbs_g_100g
food_yellow_banana_pulp_steamed_sampled_in_the_island_of_la_martinique,yellow_banana_pulp_steamed_sampled_in_the_island_of_la_martinique,"Yellow banana, pulp, steamed, sampled in the island of La Martinique","Yellow banana, pulp, steamed",atomic,"fruits, vegetables, legumes and nuts",vegetables,4.8,1.06,,0.057,vegetables from Martinique and their products,cooked,,,,,64.1,0.0,protein_low;fat_low,True,False,True,False,False,,,,veggie,,,yellow-banana-pulp-steamed-sampled-in-the-island-of-la-martinique_20800,"Yellow banana, pulp, steamed, sampled in the island of La Martinique",20800,,False,True,normalized_from_source_name,excluded_missing_min_macros,1,missing minimum macro set | missing: carbs_g_100g
food_pumpkin_local_variety_crisps_sampled_in_the_island_of_la_martinique,pumpkin_local_variety_crisps_sampled_in_the_island_of_la_martinique,"Pumpkin, local variety, crisps, sampled in the island of La Martinique","Pumpkin, crisps",atomic,"fruits, vegetables, legumes and nuts",vegetables,49.2,,12.3,,vegetables from Martinique and their products,,,8.4,0.44,,,0.0,carb_moderate,True,False,True,False,False,,,,veggie,,,pumpkin-local-variety-crisps-sampled-in-the-island-of-la-martinique_20801,"Pumpkin (local variety), crisps, sampled in the island of La Martinique",20801,local_variety,False,True,normalized_from_source_name,excluded_missing_min_macros,1,"missing minimum macro set | missing: protein_g_100g, fat_g_100g"
food_pumpkin_phoenix_variety_crisps_sampled_in_the_island_of_la_martinique,pumpkin_phoenix_variety_crisps_sampled_in_the_island_of_la_martinique,"Pumpkin, phoenix variety, crisps, sampled in the island of La Martinique","Pumpkin, crisps",atomic,"fruits, vegetables, legumes and nuts",vegetables,55.6,,13.9,,vegetables from Martinique and their products,,,8.7,0.2,,,0.0,carb_moderate,True,False,True,False,False,,,,veggie,,,pumpkin-phoenix-variety-crisps-sampled-in-the-island-of-la-martinique_20802,"Pumpkin (phoenix variety), crisps, sampled in the island of La Martinique",20802,phoenix_variety,False,True,normalized_from_source_name,excluded_missing_min_macros,1,"missing minimum macro set | missing: protein_g_100g, fat_g_100g"
food_caribbean_cabbage_pulp_steamed_sampled_in_the_island_of_la_martinique,caribbean_cabbage_pulp_steamed_sampled_in_the_island_of_la_martinique,"Caribbean cabbage, pulp, steamed, sampled in the island of La Martinique","Caribbean cabbage, pulp, steamed",atomic,"fruits, vegetables, legumes and nuts",vegetables,13.0,3.25,,0.003,vegetables from Martinique and their products,cooked,,,,,63.7,0.0,fat_low,True,False,True,False,False,,,,veggie,,cruciferous,caribbean-cabbage-pulp-steamed-sampled-in-the-island-of-la-martinique_20803,"Caribbean cabbage, pulp, steamed, sampled in the island of La Martinique",20803,,False,True,normalized_from_source_name,excluded_missing_min_macros,1,missing minimum macro set | missing: carbs_g_100g
food_chayote_white_skin_pulp_canned_not_drained_sampled_in_the_island_of_la_martinique,chayote_white_skin_pulp_canned_not_drained_sampled_in_the_island_of_la_martinique,"Chayote, white skin, pulp, canned, not drained, sampled in the island of La Martinique","Chayote, white skin, pulp",semi_atomic,"fruits, vegetables, legumes and nuts",vegetables,0.0,,,,vegetables from Martinique and their products,,canned;drained,1.0,,,93.2,0.0,,True,False,True,False,False,,,,veggie,,,chayote-white-skin-pulp-canned-not-drained-sampled-in-the-island-of-la-martinique_20806,"Chayote, white skin, pulp, canned, not drained, sampled in the island of La Martinique",20806,canned,False,True,normalized_from_source_name,excluded_missing_min_macros,1,"missing minimum macro set | missing: protein_g_100g, carbs_g_100g, fat_g_100g"
food_chayote_white_skin_pulp_steamed_frozen_sampled_in_the_island_of_la_martinique,chayote_white_skin_pulp_steamed_frozen_sampled_in_the_island_of_la_martinique,"Chayote, white skin, pulp, steamed, frozen, sampled in the island of La Martinique","Chayote, white skin, pulp",atomic,"fruits, vegetables, legumes and nuts",vegetables,0.0,,,,vegetables from Martinique and their products,cooked,frozen,1.6,,,91.6,0.0,,True,False,True,False,False,,,,veggie,,,chayote-white-skin-pulp-steamed-frozen-sampled-in-the-island-of-la-martinique_20807,"Chayote, white skin, pulp, steamed, frozen, sampled in the island of La Martinique",20807,frozen,False,True,normalized_from_source_name,excluded_missing_min_macros,1,"missing minimum macro set | missing: protein_g_100g, carbs_g_100g, fat_g_100g"
food_cucumber_pulp_with_seeds_raw_sampled_in_the_island_of_la_martinique,cucumber_pulp_with_seeds_raw_sampled_in_the_island_of_la_martinique,"Cucumber, pulp with seeds, raw, sampled in the island of La Martinique","Cucumber, pulp with seeds",atomic,"fruits, vegetables, legumes and nuts",vegetables,8.1,0.73,,0.58,vegetables from Martinique and their products,raw,,,,,95.8,0.0,protein_low;fat_low,True,False,True,False,False,,,,veggie,,salad_like,cucumber-pulp-with-seeds-raw-sampled-in-the-island-of-la-martinique_20808,"Cucumber, pulp with seeds, raw, sampled in the island of La Martinique",20808,with_seeds,False,True,normalized_from_source_name,excluded_missing_min_macros,1,missing minimum macro set | missing: carbs_g_100g
